1st,2nd,3rd,4th,5th,College Code,Gender,Roll,Roll no.,Subject Code
8.11,7.68,7.11,7.43,8.18,115,Female,,17020.0,16
6.48,5.9,4.15,4.29,4.96,115,Male,,17021.0,16
8.41,8.24,7.52,8.25,7.75,115,Female,,17022.0,16
7.33,6.83,6.33,6.79,6.89,115,Male,,17023.0,16
7.89,7.34,7.22,7.32,7.46,115,Male,,17024.0,16
7.33,6.72,6.48,6.5,7.39,115,Male,,17025.0,16
7.15,6.72,6.89,6.86,7.64,115,Male,,17026.0,16
6.74,6.38,4.93,5.64,6.75,115,Male,,17027.0,16
7.89,7.45,6.96,7.71,8.0,115,Female,,17028.0,16
7.3,6.34,6.3,6.61,6.18,115,Male,,17029.0,16
8.0,7.9,7.52,7.64,8.11,115,Male,,17030.0,16
6.78,4.28,5.81,6.04,6.39,115,Male,,17031.0,16
5.67,5.62,5.48,5.93,6.75,115,Male,,17032.0,16
6.33,6.41,6.41,6.93,7.0,115,Male,,17033.0,16
6.44,6.21,6.19,6.68,6.86,115,Male,,17034.0,16
6.3,6.17,5.59,5.89,6.36,115,Male,,17035.0,16
6.96,6.14,6.93,7.18,7.29,115,Male,,17036.0,16
6.7,6.45,5.78,6.0,6.61,115,Male,,17037.0,16
7.41,6.93,7.33,7.71,8.46,115,Male,,17038.0,16
7.04,6.31,6.44,7.21,7.32,115,Male,,17039.0,16
6.63,5.62,6.11,5.79,6.25,115,Male,,17040.0,16
8.33,8.72,7.81,8.04,8.93,115,Female,,17041.0,16
7.96,7.93,7.78,8.21,8.21,115,Male,,17042.0,16
6.89,5.55,5.93,6.79,7.54,115,Male,,17043.0,16
8.19,8.17,7.15,7.75,7.64,115,Male,,17044.0,16
7.89,6.69,7.15,8.43,8.36,115,Female,,17045.0,16
7.33,6.55,5.96,6.75,6.89,115,Male,,17046.0,16
8.22,8.17,8.37,9.04,9.0,115,Male,,17047.0,16
7.44,7.59,7.26,7.89,7.86,115,Male,,17048.0,16
5.74,6.45,6.48,7.29,7.61,115,Male,,17049.0,16
6.81,6.79,6.3,7.14,7.86,115,Female,,17050.0,16
8.89,8.31,7.3,9.25,8.5,115,Female,,17051.0,16
8.04,7.59,7.22,8.32,8.82,115,Male,,17052.0,16
8.3,8.38,7.63,7.93,8.75,115,Male,,17053.0,16
8.04,6.69,6.37,6.64,6.64,115,Male,,17054.0,16
7.44,7.97,7.78,8.64,8.71,115,Male,,17055.0,16
7.85,6.9,7.04,7.82,8.39,115,Female,,17056.0,16
8.07,7.34,7.59,7.89,8.14,115,Male,,17057.0,16
7.59,7.38,7.3,8.64,8.21,115,Male,,17058.0,16
8.19,7.66,7.48,8.68,8.89,115,Male,,17059.0,16
5.81,5.83,4.15,4.93,4.86,115,Male,,17060.0,16
6.3,6.24,5.85,6.36,7.0,115,Male,,17061.0,16
7.78,6.93,7.44,7.86,8.21,115,Male,,17062.0,16
8.22,6.66,7.07,7.29,7.61,115,Male,,17063.0,16
7.67,7.07,7.04,7.07,6.93,115,Male,,17064.0,16
8.41,7.59,7.41,7.89,8.11,115,Male,,17065.0,16
7.59,7.83,6.89,7.32,8.5,165,M,17021.0,,16
5.3,5.62,4.56,4.36,6.18,165,F,17022.0,,16
7.26,7.62,7.26,7.29,7.61,165,M,17023.0,,16
7.93,7.83,7.81,8.32,8.68,165,M,17024.0,,16
8.11,8.55,7.3,8.11,9.14,165,M,17025.0,,16
7.26,7.9,7.26,7.71,8.39,165,M,17026.0,,16
6.59,7.72,6.26,7.61,7.29,165,M,17027.0,,16
7.89,7.97,7.33,7.46,8.5,165,M,17028.0,,16
7.67,8.0,7.7,8.07,8.68,165,F,17029.0,,16
7.85,8.41,7.67,8.71,9.39,165,M,17030.0,,16
7.04,6.38,6.78,7.54,7.39,165,M,17031.0,,16
7.26,7.21,6.93,6.86,8.04,165,M,17032.0,,16
4.81,,5.89,6.07,4.54,165,M,17033.0,,16
8.19,8.48,8.0,8.46,8.89,165,M,17034.0,,16
6.52,6.76,6.52,7.21,7.57,165,M,17035.0,,16
7.15,7.24,6.7,7.86,8.29,165,F,17036.0,,16
,,,,,165,,17037.0,,16
3.85,3.9,4.96,,4.0,165,M,17038.0,,16
6.63,5.48,6.22,6.57,7.0,165,M,17039.0,,16
7.07,6.79,6.96,6.89,8.64,165,M,17040.0,,16
7.33,7.76,7.04,7.18,8.11,165,M,17041.0,,16
7.59,7.28,6.7,7.68,8.18,165,F,17042.0,,16
7.0,7.07,7.04,7.43,8.36,165,F,17043.0,,16
7.33,7.55,7.63,6.14,8.39,165,M,17044.0,,16
6.89,8.1,7.26,7.68,8.57,165,M,17045.0,,16
6.56,6.52,6.33,7.0,7.29,165,M,17046.0,,16
6.74,6.79,7.15,7.14,7.68,165,M,17047.0,,16
4.19,,,,,165,M,17048.0,,16
6.22,7.0,6.0,6.39,6.43,165,M,17049.0,,16
7.33,8.03,7.93,8.11,8.04,165,M,17050.0,,16
7.63,6.59,6.52,4.93,6.43,165,M,17051.0,,16
6.22,6.38,6.41,5.93,6.18,165,M,17052.0,,16
7.11,7.07,6.07,5.86,6.86,165,M,17053.0,,16
5.11,5.62,5.48,5.89,5.79,165,F,17054.0,,16
6.26,6.55,6.63,6.71,7.54,165,M,17055.0,,16
6.04,5.86,5.15,5.54,6.04,165,M,17056.0,,16
6.78,6.79,6.96,7.79,8.36,165,M,17057.0,,16
5.11,6.03,6.33,6.5,6.75,165,M,17058.0,,16
6.22,6.38,6.33,6.29,7.96,165,M,17059.0,,16
7.0,6.17,6.33,6.5,6.25,165,F,17060.0,,16
6.3,6.21,6.52,5.93,7.5,165,M,17061.0,,16
6.74,6.62,6.48,6.86,8.25,165,M,17062.0,,16
6.67,6.48,5.89,6.36,5.61,165,M,17063.0,,16
7.37,7.93,7.07,7.64,8.61,165,M,17064.0,,16
6.16,6.66,6.63,6.71,6.96,165,M,17065.0,,16
,,6.96,,,165,M,17066.0,,16
6.19,6.21,5.7,5.46,6.93,116,Male,17017.0,,16
6.22,6.28,6.11,6.11,6.54,116,Female,17018.0,,16
5.85,5.66,4.59,5.86,6.0,116,Male,17019.0,,16
7.37,7.24,6.48,7.18,7.82,116,Male,17020.0,,16
8.63,8.38,8.17,8.73,8.73,116,Male,17021.0,,16
6.96,6.69,6.59,6.36,6.79,116,Male,17022.0,,16
5.78,5.79,5.22,5.36,6.61,116,Male,17023.0,,16
5.93,5.86,4.7,5.5,6.21,116,Male,17024.0,,16
6.59,5.48,4.22,4.75,4.96,116,Male,17025.0,,16
6.85,7.41,7.41,7.86,8.14,116,Male,17026.0,,16
6.37,6.59,6.07,5.82,5.86,116,Female,17027.0,,16
7.19,6.9,6.52,8.36,7.89,116,Female,17028.0,,16
6.37,6.9,4.33,6.96,6.75,116,Male,17029.0,,16
7.67,8.21,6.19,8.29,8.54,116,Male,17030.0,,16
6.48,6.55,5.22,5.61,6.18,116,Male,17031.0,,16
8.7,7.83,7.56,8.11,8.07,116,Male,17032.0,,16
6.81,7.07,5.7,6.29,8.07,116,Male,17033.0,,16
6.37,5.59,6.33,7.07,7.81,116,Female,17034.0,,16
6.11,6.55,5.56,6.86,7.0,116,Male,17035.0,,16
7.89,8.72,8.19,8.54,9.11,116,Male,17036.0,,16
7.89,7.97,6.81,8.54,8.0,116,Male,17037.0,,16
7.37,5.86,7.0,7.82,8.21,116,Female,17038.0,,16
7.48,7.69,7.11,7.93,8.21,116,Female,17039.0,,16
9.15,8.86,8.34,9.04,9.19,116,Male,17040.0,,16
7.19,7.45,6.63,7.04,7.79,116,Male,17041.0,,16
6.85,7.41,6.33,6.39,,116,Male,17042.0,,16
6.44,6.14,6.19,6.82,7.43,116,Male,17043.0,,16
6.56,6.14,6.33,6.75,7.14,116,Male,17044.0,,16
8.0,7.9,7.33,7.47,8.07,116,Male,17045.0,,16
7.15,6.34,6.56,6.68,6.54,116,Male,17046.0,,16
7.3,7.07,6.67,6.0,6.11,116,Male,17047.0,,16
8.44,7.28,7.96,8.0,8.29,116,Female,17048.0,,16
6.0,5.93,3.96,5.43,6.25,116,Male,17049.0,,16
5.78,6.28,4.3,6.43,6.75,116,Male,17050.0,,16
6.37,5.9,5.81,6.04,6.64,116,Male,17051.0,,16
6.19,6.62,6.3,6.54,7.43,116,Male,17052.0,,16
6.74,6.72,7.04,7.93,8.32,116,Male,17053.0,,16
5.52,5.72,6.07,7.11,7.79,116,Male,17054.0,,16
6.3,6.48,5.63,6.21,6.39,116,Male,17055.0,,16
6.89,6.69,5.67,6.07,7.39,116,Male,17056.0,,16
7.0,7.41,6.37,6.57,7.79,116,Male,17057.0,,16
6.07,6.07,5.89,6.54,7.81,116,Male,17058.0,,16
7.11,7.34,6.85,7.96,8.14,116,Male,17059.0,,16
9.15,9.21,9.59,9.31,9.46,116,Female,17060.0,,16
7.78,6.86,7.26,7.82,8.36,116,Male,17061.0,,16
7.59,7.76,7.0,8.32,8.21,116,Female,17062.0,,16
7.11,7.41,7.0,7.32,8.32,116,Male,17063.0,,16
6.26,6.0,6.07,5.36,6.21,116,Male,17064.0,,16
8.3,7.97,8.33,8.29,8.61,116,Male,17065.0,,16
6.96,5.72,6.33,7.18,,116,Male,17066.0,,16
6.96,6.24,6.85,7.21,7.71,116,Male,17067.0,,16
8.22,8.76,7.74,8.46,8.38,241,F,17018.0,,28
7.15,6.79,6.75,6.78,6.62,241,M,17019.0,,28
7.07,7.66,7.22,7.86,7.31,241,F,17020.0,,28
7.52,7.82,7.67,8.21,8.38,241,M,17021.0,,28
6.33,6.76,5.7,5.18,5.31,241,M,17022.0,,28
7.33,6.62,6.26,6.33,6.81,241,M,17023.0,,28
7.89,7.97,7.59,8.25,9.35,241,M,17024.0,,28
6.44,6.43,6.52,7.04,6.62,241,M,17025.0,,28
6.96,6.41,6.33,5.57,5.35,241,M,17026.0,,28
7.0,6.34,6.07,6.14,7.0,241,F,17027.0,,28
6.26,5.55,6.15,5.04,5.08,241,M,17028.0,,28
7.22,6.76,7.48,7.93,7.77,241,M,17029.0,,28
6.41,6.48,6.41,6.68,7.08,241,M,17030.0,,28
5.96,6.1,6.07,5.36,5.12,241,M,17031.0,,28
7.19,7.97,7.3,8.04,8.15,241,M,17032.0,,28
7.14,7.79,6.93,7.64,8.65,241,M,17033.0,,28
7.19,7.1,6.7,7.36,7.38,241,M,17034.0,,28
6.85,6.41,6.19,6.68,6.96,241,M,17035.0,,28
8.0,8.07,7.96,8.46,8.62,241,M,17036.0,,28
7.59,7.48,7.41,7.18,7.92,241,M,17037.0,,28
6.7,7.34,7.11,7.32,7.35,241,M,17038.0,,28
7.59,7.31,7.11,7.68,7.65,241,M,17039.0,,28
7.07,6.38,5.3,5.43,4.77,241,M,17040.0,,28
6.44,6.48,6.78,6.29,5.81,241,M,17041.0,,28
7.19,7.0,6.74,7.04,7.04,241,M,17042.0,,28
6.81,6.38,5.19,5.46,,241,M,17043.0,,28
6.63,7.03,7.0,6.75,7.38,241,M,17044.0,,28
7.33,7.34,7.22,7.25,7.08,241,M,17045.0,,28
7.15,7.79,7.41,,7.5,241,M,17046.0,,28
7.0,7.41,7.15,7.04,7.81,241,M,17047.0,,28
7.48,7.55,7.67,7.39,8.65,241,F,17048.0,,28
7.3,6.41,6.59,7.11,7.38,241,M,17049.0,,28
6.3,6.28,5.89,5.71,6.5,241,M,17050.0,,28
7.04,7.1,6.81,7.0,6.92,241,M,17051.0,,28
6.7,6.81,6.52,5.39,7.0,241,M,17052.0,,28
